NAME,median_income,total_population,poverty_count,state,county,poverty_rate
"Denver County, Colorado",85853.0,710800.0,81703,COLORADO,DENVER,11.494513224535734
"Dolores County, Colorado",64708.0,2329.0,389,COLORADO,DOLORES,16.70244740231859
"Douglas County, Colorado",139010.0,360206.0,10799,COLORADO,DOUGLAS,2.9980066961683036
"Eagle County, Colorado",98887.0,55650.0,4457,COLORADO,EAGLE,8.008984725965858
"Elbert County, Colorado",124360.0,26457.0,1124,COLORADO,ELBERT,4.248403069131043
"El Paso County, Colorado",82748.0,730323.0,65325,COLORADO,EL PASO,8.944672425762299
"Fremont County, Colorado",56165.0,49107.0,6081,COLORADO,FREMONT,12.383163296475045
"Garfield County, Colorado",82772.0,61683.0,4917,COLORADO,GARFIELD,7.971402169155197
"Gilpin County, Colorado",95902.0,5856.0,538,COLORADO,GILPIN,9.187158469945356
"Grand County, Colorado",79367.0,15724.0,1345,COLORADO,GRAND,8.553803103535996
"Gunnison County, Colorado",76538.0,17018.0,1746,COLORADO,GUNNISON,10.259724997061936
"Hinsdale County, Colorado",58712.0,911.0,67,COLORADO,HINSDALE,7.354555433589462
"Huerfano County, Colorado",49631.0,6896.0,1390,COLORADO,HUERFANO,20.15661252900232
"Jackson County, Colorado",38686.0,1440.0,299,COLORADO,JACKSON,20.76388888888889
"Jefferson County, Colorado",103167.0,580519.0,38194,COLORADO,JEFFERSON,6.5792850879988425
"Kiowa County, Colorado",45250.0,1347.0,210,COLORADO,KIOWA,15.590200445434299
"Kit Carson County, Colorado",58992.0,7039.0,652,COLORADO,KIT CARSON,9.262679357863334
"Lake County, Colorado",78942.0,7403.0,527,COLORADO,LAKE,7.118735647710388
"La Plata County, Colorado",81936.0,55983.0,6185,COLORADO,LA PLATA,11.047996713287962
"Larimer County, Colorado",87199.0,359363.0,40057,COLORADO,LARIMER,11.146667853952689
"Las Animas County, Colorado",48965.0,14422.0,2627,COLORADO,LAS ANIMAS,18.21522673692969
"Lincoln County, Colorado",59167.0,5583.0,485,COLORADO,LINCOLN,8.687085796166935
"Logan County, Colorado",54864.0,21302.0,2332,COLORADO,LOGAN,10.947328889306169
"Mesa County, Colorado",68077.0,156131.0,17446,COLORADO,MESA,11.17395008038122
"Mineral County, Colorado",58929.0,794.0,89,COLORADO,MINERAL,11.209068010075567
"Moffat County, Colorado",63983.0,13232.0,1947,COLORADO,MOFFAT,14.714328899637245
"Montezuma County, Colorado",61377.0,26070.0,3231,COLORADO,MONTEZUMA,12.39355581127733
"Montrose County, Colorado",62817.0,42823.0,4904,COLORADO,MONTROSE,11.45178992597436
"Morgan County, Colorado",70471.0,29045.0,3662,COLORADO,MORGAN,12.608022034773628
"Otero County, Colorado",47500.0,18580.0,4350,COLORADO,OTERO,23.41227125941873
"Ouray County, Colorado",78750.0,4936.0,239,COLORADO,OURAY,4.841977309562399
"Park County, Colorado",85019.0,17597.0,1185,COLORADO,PARK,6.734102403818833
"Phillips County, Colorado",58474.0,4493.0,612,COLORADO,PHILLIPS,13.621188515468507
"Pitkin County, Colorado",96123.0,17325.0,1150,COLORADO,PITKIN,6.637806637806638
"Prowers County, Colorado",49422.0,11968.0,2037,COLORADO,PROWERS,17.02038770053476
"Pueblo County, Colorado",59436.0,168135.0,27274,COLORADO,PUEBLO,16.2214886846879
"Rio Blanco County, Colorado",69882.0,6511.0,799,COLORADO,RIO BLANCO,12.27154046997389
"Rio Grande County, Colorado",57591.0,11442.0,1151,COLORADO,RIO GRANDE,10.059430169550778
"Routt County, Colorado",95144.0,24944.0,1965,COLORADO,ROUTT,7.877645926876204
"Saguache County, Colorado",51946.0,6454.0,1123,COLORADO,SAGUACHE,17.400061977068486
"San Juan County, Colorado",67344.0,690.0,132,COLORADO,SAN JUAN,19.130434782608695
"San Miguel County, Colorado",72829.0,8082.0,682,COLORADO,SAN MIGUEL,8.43850532046523
"Sedgwick County, Colorado",45855.0,2391.0,379,COLORADO,SEDGWICK,15.851108322877458
"Summit County, Colorado",100611.0,30955.0,2275,COLORADO,SUMMIT,7.349378129542885
"Teller County, Colorado",69655.0,24758.0,1727,COLORADO,TELLER,6.975523063252282
"Washington County, Colorado",59087.0,4817.0,446,COLORADO,WASHINGTON,9.258874818351671
"Weld County, Colorado",89182.0,331466.0,31432,COLORADO,WELD,9.482722209819409
"Yuma County, Colorado",60118.0,9938.0,1355,COLORADO,YUMA,13.634534111491245
"Capitol Planning Region, Connecticut",88190.0,977165.0,101370,CONNECTICUT,CAPITOL PLANNING REGION,10.373887726228425
"Greater Bridgeport Planning Region, Connecticut",83147.0,326381.0,42156,CONNECTICUT,GREATER BRIDGEPORT PLANNING REGION,12.91619303819769
"Lower Connecticut River Valley Planning Region, Connecticut",99742.0,175244.0,10964,CONNECTICUT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION,6.256419620643218
"Naugatuck Valley Planning Region, Connecticut",82939.0,451887.0,45555,CONNECTICUT,NAUGATUCK VALLEY PLANNING REGION,10.081060088030858
"Northeastern Connecticut Planning Region, Connecticut",83119.0,95687.0,8356,CONNECTICUT,NORTHEASTERN CONNECTICUT PLANNING REGION,8.732638707452423
"Northwest Hills Planning Region, Connecticut",87971.0,112696.0,10462,CONNECTICUT,NORTHWEST HILLS PLANNING REGION,9.28338184141407
"South Central Connecticut Planning Region, Connecticut",83617.0,571298.0,64563,CONNECTICUT,SOUTH CENTRAL CONNECTICUT PLANNING REGION,11.301107303018739
"Southeastern Connecticut Planning Region, Connecticut",80330.0,280293.0,26614,CONNECTICUT,SOUTHEASTERN CONNECTICUT PLANNING REGION,9.495064093644864
"Western Connecticut Planning Region, Connecticut",118930.0,620666.0,45652,CONNECTICUT,WESTERN CONNECTICUT PLANNING REGION,7.355324764043786
"Kent County, Delaware",69278.0,182400.0,21850,DELAWARE,KENT,11.979166666666668
"New Castle County, Delaware",85309.0,570567.0,58355,DELAWARE,NEW CASTLE,10.227545581851036
"Sussex County, Delaware",75406.0,240668.0,27585,DELAWARE,SUSSEX,11.461847856798578
"District of Columbia, District of Columbia",101722.0,670587.0,98039,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,14.61987780854684
"Alachua County, Florida",57566.0,279729.0,53070,FLORIDA,ALACHUA,18.971933549971578
"Baker County, Florida",67872.0,27969.0,3398,FLORIDA,BAKER,12.149165147127176
"Bay County, Florida",65999.0,181055.0,21755,FLORIDA,BAY,12.015685841318936
"Bradford County, Florida",54759.0,27816.0,4352,FLORIDA,BRADFORD,15.645671555939028
"Brevard County, Florida",71308.0,610723.0,60927,FLORIDA,BREVARD,9.976208526615176
"Broward County, Florida",70331.0,1940907.0,238880,FLORIDA,BROWARD,12.307647919246003
"Calhoun County, Florida",41526.0,13753.0,2374,FLORIDA,CALHOUN,17.261688358903513
"Charlotte County, Florida",62164.0,189900.0,19490,FLORIDA,CHARLOTTE,10.263296471827278
"Citrus County, Florida",52569.0,155173.0,22833,FLORIDA,CITRUS,14.714544411721112
"Clay County, Florida",82242.0,219650.0,20352,FLORIDA,CLAY,9.265649897564307
"Collier County, Florida",82011.0,380221.0,39131,FLORIDA,COLLIER,10.291646174198691
"Columbia County, Florida",53501.0,69832.0,10196,FLORIDA,COLUMBIA,14.600756100355138
